Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
56125,47.0,295.0,248.0,5.28,52.484115,-1.890202,9,3.67,13.59,46.49,134.0,134.0,OK
56252,107.8,335.0,227.2,3.36,52.484226,-1.889677,7,2.94,114.78,99.03,176.0,176.0,OK
56477,359.6,2.0,2.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
56796,3.2,0.0,356.8,0.0,52.484046,-1.889295,5,0.0,280.24,45.0,0.0,0.0,OK
56981,332.5,257.0,284.5,1.44,52.483989,-1.88892,7,0.0,287.45,46.7,62.0,62.0,OK
57171,41.9,289.0,247.1,6.72,52.484123,-1.890197,9,2.96,17.69,47.84,136.0,136.0,OK
57288,93.9,0.0,266.1,3.36,52.484226,-1.889658,8,3.7,103.91,106.49,98.0,98.0,OK
57509,359.6,2.0,2.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
57822,3.2,0.0,356.8,0.0,52.484046,-1.889295,5,0.0,280.24,45.0,0.0,0.0,OK
58015,333.3,258.0,284.7,1.44,52.483989,-1.88892,7,0.0,287.45,46.3,62.0,62.0,OK
58229,42.0,291.0,249.0,6.72,52.484138,-1.890188,9,4.3,21.93,45.0,132.0,132.0,OK
58321,94.7,0.0,265.3,3.36,52.484226,-1.889638,9,4.17,94.41,106.95,100.0,100.0,OK
58543,0.1,2.0,1.9,2.4,52.484073,-1.889315,5,0.0,10.5,90.77,0.0,0.0,OK
58849,3.2,0.0,356.8,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
